OperatorRef,LineName,JourneyRef
TFLO,308,465445
BNGN,3,1073
ROST,464,2244
DJWA,25,1640
BPTR,X43,3238
HWCO,112,1930
SCSO,20,72
LNUD,1,1990
SCNH,X47,34
SYRK,32,51
SSWL,23,141
AMSY,79,1181
TFLO,283,591163
FBRA,612,0855
FCYM,X2,1955
TFLO,3,261131
GNEL,10,1104
SYRK,90b,552
SCEM,2,1082
CTNY,128,29
WRAY,195,3130
FLDS,40,1724
SYRK,27,557
TFLO,255,51500
SCSO,34,59
TNXB,8A,109
TFLO,255,51479
TFLO,125,513000
TFLO,245,126950
TFLO,255,51520
TFLO,257,255603
TFLO,258,462115
FHAM,DEAD,0257
TFLO,258,462191
PCCO,50,1745
TNXB,74,147
TFLO,55,488985
NATX,561,561300
FHAM,9A,18
SARG,41,1805
TCVW,13,101
TFLO,259,533325
FBRI,17,1915
TFLO,259,533088
TFLO,259,533171
SCEM,1,3158
EYMS,55,2027
AMSY,82,1137
FBRI,173,2028
TFLO,26,230503
TFLO,133,372255
GNEL,16A,1697
BLUS,16,1710
VISB,480,1725
TBTN,3C,101730
SCNH,D3,30
SCEM,13,70
SDVN,1,484
RLNE,2,1720
TFLO,28,419758
SDVN,89,27
SCNE,10,45
GHCT,PR2,1849
SCNH,48,57
NATX,445,445119
NATX,A1,101553
TFLO,26,230478
TFLO,26,230876
DEWS,9,vj_6
ARHE,7,1063
SCEK,99,79
SDVN,2,56
TNXB,8C,147
TFLO,199,63177
GNEL,39A,4002
KBUS,sp,112100
GHCT,69,2109
SCSO,64,47
METR,23,45
ENSB,Z2,0655
SDVN,2,457
TFLO,260,695627
TFLO,260,695511
SCOX,10,124
BHBC,18,109
METR,480,83
TFLO,386,72723
RLNE,18,0630
FLDS,4F,1912
TFLO,260,695497
SCCU,300,29
AMSY,81A,1105
FECS,A,101
FBRI,49,1947
SCEK,6,44
TBTN,93,112033
WDBC,U1,234
TFLO,2,76130
NATX,007,107133
TFLO,263,383029
FESX,3,16
TFLO,232,416144
TFLO,89,447520
AMTM,480,1068
SDVN,E1,113
FHAL,508,1210
TFLO,386,72874
LNUD,6,6409
FHAM,7,79
TFLO,113,313260
FECS,X22,78
SDVN,157,51
GONW,67,0096
AMSY,81,1061
TFLO,104,22624
TFLO,115,412052
FSRV,228,1730
SCGL,71,46
FMAN,83,1851
VECT,25,25032
SCEK,64,537
LNUD,2,6890
TBTN,mic,112045
ANEA,13B,1107
TBTN,all,102100
ENSB,77A,2010
BDRB,SJL9,1525
TFLO,SL6,701872
NATX,400,409200
FYOR,5A,1749
TFLO,256,610046
SCCM,X9,24
TFLO,80,222546
FALC,408,1840
TNXB,6,133
GNEL,54,4105
SCSO,65,921
WNGS,H2D,2048
TFLO,50,124752
ZSIN,60,8
TFLO,390,474771
BHBC,21,103
SWWD,R1,2020
FHAM,7,1651
TNXB,2,152
GONW,53,1007
TBTN,H1,102105
TBTN,cmt,112020
FBRI,1,1838
TFLO,294,196343
ACYM,14A,1061
BHBC,12A,272
TFLO,109,65768
ROST,483,4029
SCEM,3,4101
TFLO,393,144787
AMSY,80A,1091
TFLO,129,196086
TFLO,313,16118
TFLO,13,442694
SCNE,17,103
TBTN,two,112045
SCEK,Tria,101
SCEM,107,6519
TBTN,6E,112030
FSYO,75,1713A
TFLO,212,262038
SDVN,1,479
ROST,8,4449
TFLO,394,374159
FESX,372,64
SCNH,X46,24
WRAY,104,1763
NATX,106,100111
SESX,12A,12
SYRK,88,118
NATX,767,767004
TFLO,440,696110
SCEK,64,53
SCMY,111,128
TFLO,3,260903
BNGN,22,1058
TFLO,228,548907
BPTR,5,5138
SCMN,142,173
TFLO,86,603333
TCVW,21,150
AMSY,413,1013
FBRI,U1,1830
AMSY,44,1078
TFLO,228,548879
TFLO,134,
WRAY,203,2316
TPEN,546,3045
FSYO,75,1337
TFLO,329,556575
SWWD,29,0811
FSYO,20,0744F
HRGT,36,3862
FALC,715,1800
KBUS,DRT,107
TFLO,134,
SCNE,6,128
FECS,75,71
TFLO,22,100602
TFLO,115,411834
TFLO,D6,236350
BHBC,12,270
HULS,257,1740
GNEL,843N,8433
TFLO,23,57891
TFLO,23,57680
WBTR,17,6871
OXBC,OXF,7092
SYRK,221,51
TFLO,252,151075
TFLO,111,194038
GONW,1,1141
OXBC,4A,4061
SCGL,525,25
COMT,62,12
WRAY,168,2053
SCMN,56,7043
TFLO,131,94083
TBTN,H1,112103
TFLO,230,252983
SSWL,132,234
TFLO,231,346219
BHBC,1,268
BHBC,7,253
SDVN,22,82
REDE,S1,1830
UNIB,653,653165
TCVW,X1,57
TPEN,574,3449
FBRA,641,1948
SCCM,3,83
TFLO,182,97524
BHBC,50,114
ROST,456,1298
TFLO,134,13897
TFLO,182,97283
TFLO,54,378180
BHBC,46,88
NATX,210,210156
TFLO,H25,618865
BHBC,12,281
SCEM,4,5046
TFLO,U3,706205
SCMN,38,109
SYRK,59,106
SCOX,500,128
ACYM,33,1055
ACYM,12E,1565
BNVB,978,91522
AMTM,B,1139
FECS,983,1
SCNH,766,15
FBRI,6,2009
SCSO,2,58
ESTS,393,1650
BNGN,948,9004
FSYO,15,1547F
KEVS,19,1705
TFLO,H98,340437
RLNE,130,1920
FBRI,Y1,1801
FBRI,2,2033
SCNE,X88,69
EYMS,55,1937
AMSY,RR1,1012
GONW,17,0160
SSWL,172,21
TNXB,15,127
TFLO,345,308882
TFLO,184,392593
SCEK,48,8
TFLO,139,684791
BBCG,96,1305
FLEI,88E,2054
REDE,W1,1855
TFLO,288,611720
FHUD,363,2056
SCEK,98,50
BRTB,igo,101503
RBTS,103,1845
FHUD,372,1715
AMNO,12,1018
SCNE,22,156
BNGN,7,1084
ADER,2,1068
LNUD,7,6342
ARBB,755,1007
TFLO,K3,693501
AMSY,68A,1095
BORD,67,1715
SCEK,11A,827
FLDS,1,2012
TBTN,3A,102030
KCTB,3,156
SCGL,2,58
TFLO,608,
SCMY,472,1639
TFLO,112,96315
ZSIN,110,3
SCMN,219,183
AMSY,86A,1209
TFLO,312,554448
SLVL,A4,1455
BRYL,B7,1410
SCEM,29,3019
TFLO,194,47604
SCNH,96,54
SCNE,7,33
ADER,903,2095
FECS,1,83
BNGN,V2,1098
TFLO,397,
SCMN,143,402
YEOC,453,1824
TFLO,94,650516
RDRT,308,VJ35_181900
FTVA,RA2,81
NATX,A31,131284
BNGN,8,1104
METR,10,113
TFLO,197,155070
TFLO,291,384564
TFLO,113,313424
TNXB,7,56
TFLO,57,406300
ACYM,10,1056
TFLO,189,527870
SCGL,66,22
TBTN,15,710700
NDTR,403,1510
TNXB,126,116
SCSO,600,57
EYMS,66,1845
TFLO,P13,206957
BNGN,8,1148
FYOR,10,0629
TNXB,50,293
FLDS,12,1915
AKSS,191,1044
TFLO,177,398704
TFLO,315,102502
SCNH,15,31
SYRK,1,622
FCYM,T1X,2035
DAGC,43,135
FCYM,90,2155
BNGN,582,1132
SIMO,304,1745
ARBB,2A,1058
ARBB,321,1080
GONW,17,0139
FLEI,38A,1845
SCSO,U7,21
TFLO,P13,206790
TNXB,31,321
TNXB,89,53
TFLO,123,
AMNO,1,1048
FLDS,49,2057
SCEM,4,53
TBTN,3C,111810
TFLO,79,414384
SCCM,PR5,5092
TFLO,257,255835
TCVW,21,154
GONW,41,0081
TCVW,18,77
FSYO,120,1712
FECS,800,77
SWCO,CR3,309
SCMN,358,7026
HCTY,412,1730
TFLO,33,226470
FLEI,14A,1742
TFLO,176,699858
WRAY,425,2597
SCSO,2,95
FECS,37,140
FMAN,829,1550
SDVN,GOLD,431
TBTN,3C,112049
TNXB,71,55
SCGL,65,156
TFLO,141,660120
TFLO,P5,385456
NATX,A8,109213
TFLO,C10,618120
TNXB,5,140
ENSB,77A,1840
GNEL,60,695
TFLO,294,196292
TNXB,48A,95
SCNE,18,105
IPSW,15a,23
TBTN,if,102035
OXBC,OXF,7098
TLCT,900,1710
FSYO,95,2110
FLDS,39,1717
AMNO,110,1095
SCMY,683,2
ARHE,20,1076
SCCU,1A,213
LNUD,152,6733
BLUS,19,1931
FSYO,84,2100
PLYC,34,56
FHUD,324,1747
TFLO,6,493253
SCGL,24,11
VECT,ND,1040
TFLO,393,171008
FSYO,11,2032A
BNGN,7,1648
TFLO,50,124900
TFLO,290,
TFLO,308,465719
TFLO,220,422117
TFLO,SL8,88286
TFLO,40,
ARHE,1,1144
SMST,667,1730
TNXB,101,87
FESX,X10,77
SCCM,13,70
RBUS,702,733
TFLO,233,71499
SDVN,3,28
SCCM,2,3006
TFLO,234,169310
TFLO,134,
COAC,99,1905
TFLO,234,169259
SCCM,2,3152
TFLO,65,590714
EYMS,63,6366
TFLO,SL8,88379
TFLO,226,328847
AKSS,71,1043
TNXB,97,221
RBUS,10,62
BORD,X95,2120
TFLO,109,65711
SCCU,2,94
FESX,351,11
SCEM,21,5034
TFLO,295,640168
